"","MasterID","county","huc","smcshed","smc_lu","COMID","psa6c","strcls","lower","meds","upper","csci_sampledate","CSCI","yr","h_asci_max","ASCI","TN","total_n_rep_calc","TP","total_p_rep_calc","Cond","IPI","ev_flowhab","Ev_FlowHab","h_aqhab","H_AqHab","h_subnat","H_SubNat","pct_safn","PCT_SAFN","pct_safn_pred","xcmg","XCMG","xcmg_pred","pct_rc","indexscore_cram","bs","blc","hy","ps","psa2","missing_habitat","missing_chemistry","missing_cram","data_complete","filled_columns","Ev_FlowHab_raw","H_AqHab_raw","H_SubNat_raw","PCT_SAFN_raw","XCMG_raw","cnty","SMC_Name","RBNAME","geometry","pChem","pHab","pChemHab","BiologicalCondition","WaterChemistryCondition","HabitatCondition","OverallStressCondition","OverallStressCondition_detail","StreamHealthIndex","all_there"
"446","904S12185","San Diego",904,"Central San Diego","Agricultural","20341953","SC","possibly constrained",0.39287991,0.58148206,0.82657207,2011-05-24,0.78997386,2011,"0.714360159","0.674686017",6.705,6.705,0.09905,NA,1940,1.03,0.88,0.92,1.81,0.89,1.58,0.83,50,0.79,49.35,111,0.63,131.62,0,77,78,83,58,88,"Arid","NO","NO","NO","YES","",0.88,1.81,1.58,50,111,"San Diego","Central San Diego","San Diego",c(-117.13013, 33.09918),0.995260174345959,0.932967023928685,0.99968227538035,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"447","901S04409","Riverside",901,"San Juan","Open","20348383","SC","possibly unconstrained",0.65856133,0.99724846,1.17188712,2011-05-19,0.97210511,2011,"1.065534008","0.808495179",0.158,0.158,0.0866,NA,428,0.97,0.71,0.74,1.36,0.74,1.5,0.79,50,0.48,25.36,146,0.83,131.15,0,85,83,92,75,88,"Arid","NO","NO","NO","YES","",0.71,1.36,1.5,50,146,"Riverside","San Juan","San Diego",c(-117.45314, 33.60347),0.561247757747546,0.835746279847937,0.927933311984975,"Impacted for ASCI","Moderate","Moderate","Severe","Stressed by low levels of chemistry or habitat degradation","Impacted and stressed",TRUE
"448","901S06851","Orange",901,"San Juan","Urban","20348813","SC","likely constrained",0.28520003,0.4708486,0.72677448,2011-05-19,0.69499662,2011,"0.661981914","0.80357923",1.05,1.05,0.1485,0.156,1632,0.64,0.53,0.55,1.25,0.65,1.49,0.78,39,0.92,48.93,6,0,136.76,0,42,36,38,42,50,"Arid","NO","NO","NO","YES","",0.53,1.25,1.49,39,6,"Orange","San Juan","San Diego",c(-117.67542, 33.55052),0.986585189491247,0.990806270814898,0.999876667865113,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"449","907S03210","San Diego",907,"Mission Bay and San Diego River","Open","20330038","SC","possibly unconstrained",0.59827342,0.93652009,1.17177223,2011-05-18,1.02522312,2011,"1.050179528","0.849167401",0.1645,0.1645,0.0655,NA,130,0.960000000000001,0.61,0.63,1.65,0.829999999999999,1.55,0.82,40,0.78,38.86,80,0.66,95.0500000000001,0,90,81,92,100,88,"Arid","NO","NO","NO","YES","",0.61,1.65,1.55,40,80,"San Diego","Mission Bay and San Diego River","San Diego",c(-116.72918, 33.00312),0.324294811982413,0.187912014940125,0.451267935368294,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"450","907S05514","San Diego",907,"Mission Bay and San Diego River","Open","20332496","SC","possibly unconstrained",0.65282138,0.9613016,1.1605587,2011-05-18,1.15486804,2011,"1.062900067","0.945312264",0.117766666666667,0.1735,0.07035,NA,425,1.06,0.850000000000001,0.89,1.41,0.760000000000001,1.45,0.760000000000001,71,0.42,41.08,178,1,117.41,0,82,81,92,92,63,"Arid","NO","NO","NO","YES","",0.850000000000001,1.41,1.45,71,178,"San Diego","Mission Bay and San Diego River","San Diego",c(-116.74246, 32.97974),0.494031107107734,0.478906392576297,0.736342844358592,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"451","902S05173","San Diego",902,"Northern San Diego","Open","22548497","SC","possibly unconstrained",0.44844639,0.79702594,0.98487711,2011-05-17,0.8039802,2011,"0.7969267","0.622306577",2.52,2.52,0.0521,NA,1213,1.08,0.84,0.88,1.54,0.9,1.14,0.6,35,1,54.97,102,0.77,97.97,0,80,72,100,58,88,"Arid","NO","NO","NO","YES","",0.84,1.54,1.14,35,102,"San Diego","Northern San Diego","San Diego",c(-117.28364, 33.3971),0.930770070885719,0.859412001275978,0.990267102814017,"Impacted for ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"452","901S06798","Orange",901,"San Juan","Open","20350539","SC","possibly constrained",0.42408203,0.66355031,0.8284399,2011-05-17,0.62168808,2011,"0.794557383","0.736643862",1.33,1.33,0.127,NA,2763,0.83,0.71,0.74,1.18,0.59,0.92,0.48,94,0.23,49,153,0.88,129.5,0,78,69,92,75,75,"Arid","NO","NO","NO","YES","",0.71,1.18,0.92,94,153,"Orange","San Juan","San Diego",c(-117.74144, 33.53154),0.999078013354163,0.909213568702132,0.99991629612272,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"453","901DCCSMC","San Diego",901,"San Juan","Open","20350779","SC","possibly unconstrained",0.65524046,0.92148682,1.092035,2011-05-16,1.15048102,2011,"1.12720692","1.146623383",0.22,0.22,0.055,NA,436.3,1.06,0.89,0.94,1.44,0.73,1.72,0.91,17,0.89,24.88,98,0.69,106.94,0,84,72,100,75,88,"Arid","NO","NO","NO","YES","",0.89,1.44,1.72,17,98,"San Diego","San Juan","San Diego",c(-117.4659, 33.47303),0.482095802105703,0.645039795739174,0.816164620127901,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"454","901S04309","San Diego",901,"San Juan","Open","20351601","SC","possibly unconstrained",0.67840807,0.93216013,1.16860642,2011-05-16,0.92998005,2011,"1.009193523","1.00739489",0.175,0.175,0.0609,NA,545,1.06,0.79,0.83,1.51,0.78,1.91,1,19,0.92,28.83,93,0.66,108.54,0,92,78,100,100,88,"Arid","NO","NO","NO","YES","",0.79,1.51,1.91,19,93,"San Diego","San Juan","San Diego",c(-117.46605, 33.47486),0.556493755018645,0.132169242532169,0.615111639476117,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"455","SGUR103","Los Angeles",405,"San Gabriel","Open","22520987","SC","possibly unconstrained",0.76902187,0.99988069,1.15210017,2010-07-22,0.92701753,2010,"1.061851067","1.076579199",0.28,0.56,0.195000001490116,NA,221,0.92,0.36,0.36,1.1,0.67,1.94,1,13,0.78,12.1,98,0.7,105.76,0,91,81,100,83,100,"Arid","NO","NO","NO","YES","",0.36,1.1,1.94,13,98,"Los Angeles","San Gabriel","Los Angeles",c(-118.05822, 34.23218),0.667071072241149,0.533434062909685,0.844666702835718,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"456","SMC01452","Los Angeles",412,"Los Angeles","Urban","22515818","SC","likely constrained",0.26857546,0.47986943,0.72638622,2010-07-15,0.39455766,2010,"0.400145717","0.494965306",4.48,4.48,1.17,NA,563,0.21,0,0,0.94,0.51,0.15,0.08,27,0,35.13,2,0.18,98.69,73,51,45,62,51,43,"Arid","NO","NO","YES","YES","cram_score,cram_bioticstructure,cram_bufferandladscapecontext,cram_hydrology,cram_physicalstructure",0,0.94,0.15,27,2,"Los Angeles","Los Angeles","Los Angeles",c(-118.06675, 34.09095),0.987514958315086,0.998171074754236,0.999977165792068,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"457","SMC01196","Los Angeles",412,"Los Angeles","Open","22514614","SC","possibly unconstrained",0.68975312,1.00448729,1.17136057,2010-07-14,0.69840786,2010,"0.885702092","0.947687864",0,0,0.15,NA,253,0.85,0.5,0.51,1.65,0.81,1.31,0.69,24,0.79,23.97,27,0.54,61.96,0,81,72,92,81,75,"Arid","NO","NO","YES","YES","cram_score,cram_bioticstructure,cram_bufferandladscapecontext,cram_hydrology,cram_physicalstructure",0.5,1.65,1.31,24,27,"Los Angeles","Los Angeles","Los Angeles",c(-118.02952, 34.27835),0.49651466950138,0.627576741682997,0.812490352700891,"Impacted for CSCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"458","SMC04932","Ventura",408,"Calleguas","Agricultural","17562588","SC","likely constrained",0.46746093,0.68522173,0.76810914,2010-07-12,0.40549126,2010,"0.221499009","0.305316614",6.7,6.7,1.2,1.2,1296,0.7,0.69,0.72,1.73,0.84,1.04,0.55,83,0.32,49.01,73,0.37,137.21,4,67,61,83,75,50,"Arid","NO","NO","NO","YES","",0.69,1.73,1.04,83,73,"Ventura","Calleguas","Los Angeles",c(-119.00115, 34.20139),0.998240773941914,0.939733373803786,0.999893977380763,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"459","SMC08335","Ventura",402,"Ventura","Urban","948070372","SC",NA,NA,NA,NA,2010-07-07,0.79271796,2010,"0.745247566","0.739503165",0.34,0.34,0.013,0.013,868,1.16,0.96,1,1.61,0.93,2.06,1,23,1,44.28,84,0.68,96.14,0,51,45,62,51,43,"Arid","NO","NO","YES","YES","cram_score,cram_bioticstructure,cram_bufferandladscapecontext,cram_hydrology,cram_physicalstructure",0.96,1.61,2.06,23,84,"Ventura","Ventura","Los Angeles",c(-119.29948, 34.34583),0.499716603916561,0.931935288313472,0.965948354884023,"Impacted for ASCI","Moderate","Severe","Severe","Stressed by habitat degradation","Impacted and stressed",TRUE
"460","SMC01726","Orange",845,"San Gabriel","Urban","22525751","SC","likely constrained",0.24000298,0.47986943,0.7192196,2010-06-30,0.58924433,2010,"0.924830744","0.986732644",3.21,3.21,0,NA,1321.5,0.26,0.83,0.87,0.38,0.16,0,0,0,0.15,48.68,1,0,136.88,100,37,25,54,42,25,"Arid","NO","NO","NO","YES","",0.83,0.38,0,0,1,"Orange","San Gabriel","Santa Ana",c(-117.98816, 33.86351),0.732565822628234,0.999071053339086,0.999751567913916,"Impacted for CSCI","Moderate","Severe","Severe","Stressed by habitat degradation","Impacted and stressed",TRUE
"461","SMC00926","Orange",845,"San Gabriel","Urban","22527363","SC","likely constrained",0.23486568,0.42175445,0.67212862,2010-06-28,0.49045231,2010,"0.659932395","0.967154944",4.8,4.8,0,NA,1859.5,0.69,0.5,0.51,1.36,0.75,1,0.53,70,0.43,47.46,80,0.46,129.07,6,51,45,62,51,43,"Arid","NO","NO","YES","YES","cram_score,cram_bioticstructure,cram_bufferandladscapecontext,cram_hydrology,cram_physicalstructure",0.5,1.36,1,70,80,"Orange","San Gabriel","Santa Ana",c(-117.88296, 33.90739),0.922321071113084,0.990308606719631,0.999247182950559,"Impacted for CSCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"462","SMC06467","Orange",801,"Lower Santa Ana","Agricultural","22563198","SC","possibly unconstrained",0.77323722,1.01761968,1.15979687,2010-06-28,0.80766581,2010,"0.741237788","0.804197329",0.22,0.22,0,NA,2384,0.94,1,1,1.77,0.85,1.41,0.74,50,0.43,20.79,105,0.64,123.69,0,90,100,100,83,75,"Arid","NO","NO","NO","YES","",1,1.77,1.41,50,105,"Orange","Lower Santa Ana","Santa Ana",c(-117.71782, 33.79118),0.936191606609467,0.779603138496045,0.985936830359117,"Impacted for ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"463","403S00875","Ventura",403,"Santa Clara","Open","17567963","SC","likely unconstrained",0.86316254,1.03948669,1.18547109,2010-06-24,0.77500411,2010,"1.051258077","0.963219405",0.0626,0.0626,0.0156,NA,647,1.11,0.74,0.77,1.64,0.82,1.5,0.79,26,0.7,18.82,164,1,94.06,0,84,72,100,75,88,"Arid","NO","NO","NO","YES","",0.74,1.64,1.5,26,164,"Ventura","Santa Clara","Los Angeles",c(-119.30629, 34.55668),0.30659325025848,0.675332620789752,0.774873447834724,"Impacted for CSCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"464","403S03643","Ventura",403,"Santa Clara","Open","17567991","SC","likely unconstrained",0.91325587,1.01224385,1.10485597,2010-06-24,1.00615039,2010,"0.835887158","0.806470105",0.0836,0.0836,0.0186,NA,673,1.15,0.79,0.83,1.78,0.87,1.59,0.84,10,0.97,23.74,139,0.87,117.42,0,86,64,100,92,88,"Arid","NO","NO","NO","YES","",0.79,1.78,1.59,10,139,"Ventura","Santa Clara","Los Angeles",c(-119.12891, 34.56213),0.357342616530389,0.175626611876683,0.470210355386691,"Impacted for ASCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"465","SMC34888","Orange",801,"Lower Santa Ana","Agricultural","22561124","SC",NA,-999999,-999999,-999999,2010-06-24,0.84525634,2010,"0.665791943","0.596157565",1.11,1.11,0,NA,985.5,0.96,0.74,0.77,1.34,0.75,1.4,0.74,32,0.75,28.59,101,0.68,112.15,0,76,64,92,83,63,"Arid","NO","NO","NO","YES","",0.74,1.34,1.4,32,101,"Orange","Lower Santa Ana","Santa Ana",c(-117.68432, 33.77386),0.448584285686436,0.562539450816638,0.758777378788053,"Impacted for ASCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"466","SMC01512","Ventura",408,"Calleguas","Urban","17563922","SC","possibly constrained",0.23721563,0.48802381,0.85207669,2010-06-23,0.4901214,2010,"0.785207231","0.818249761",0.74,0.74,0.027,0.027,1436,0.14,0,0,0.49,0.18,0.6,0.32,5,0.09,42.12,9,0.02,133.38,93,37,25,54,42,25,"Arid","NO","NO","NO","YES","",0,0.49,0.6,5,9,"Ventura","Calleguas","Los Angeles",c(-118.67252, 34.27641),0.895223940677682,0.999201426489336,0.999916328614473,"Impacted for CSCI and ASCI","Moderate","Severe","Severe","Stressed by habitat degradation","Impacted and stressed",TRUE
"467","SMC02984","Ventura",408,"Calleguas","Urban","17564880","SC","likely constrained",0.2406973,0.55582794,0.68483191,2010-06-23,0.49854165,2010,"0.57589006","0.496642549",3.3,3.3,0.022,0.022,1999,0.7,0.38,0.38,1.29,0.64,1.55,0.82,46,0.8,46.59,18,0.28,97.73,0,46,50,67,42,25,"Arid","NO","NO","NO","YES","",0.38,1.29,1.55,46,18,"Ventura","Calleguas","Los Angeles",c(-118.75053, 34.26528),0.980390494907037,0.990508455951449,0.99981387551864,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"468","404S16168","Los Angeles",404,"Santa Monica Bay","Open","20365093","SC","possibly constrained",0.42070088,0.70171617,0.99348299,2010-06-23,0.59835101,2010,"0.875209834","0.706732521",0.275,0.275,0.0815,0.0815,2207,1.06,0.88,0.92,1.36,0.73,1.63,0.86,14,0.86,19.06,116,0.74,116.66,0,75,53,96,75,75,"Arid","NO","NO","NO","YES","",0.88,1.36,1.63,14,116,"Los Angeles","Santa Monica Bay","Los Angeles",c(-118.70704, 34.06765),0.99077516804195,0.649574350882466,0.9967673822731,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"469","404S25668","Los Angeles",404,"Santa Monica Bay","Urban","20364891","SC","likely constrained",0.34620404,0.5526595,0.73990405,2010-06-23,0.62742986,2010,"0.678762173","0.602732127",2.83,2.83,0.3025,0.3025,3140,1.04,0.68,0.71,1.88,0.94,1.03,0.54,52,0.54,31.84,190,1,130.46,0,74,67,92,75,63,"Arid","NO","NO","NO","YES","",0.68,1.88,1.03,52,190,"Los Angeles","Santa Monica Bay","Los Angeles",c(-118.70914, 34.12139),0.999884754185494,0.770376236019799,0.99997353682229,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"470","404S08846","Los Angeles",404,"Santa Monica Bay","Open","20365153","SC","possibly constrained",0.59174292,0.78643651,1.06109981,2010-06-22,0.96445585,2010,"0.980993302","0.759004128",0.207,0.207,0.024,0.0214,1617,1.16,0.97,1,1.58,0.83,1.88,0.99,13,0.87,20.29,137,0.8,127.52,1,84,64,88,83,100,"Arid","NO","NO","NO","YES","",0.97,1.58,1.88,13,137,"Los Angeles","Santa Monica Bay","Los Angeles",c(-118.58176, 34.05442),0.891164964438389,0.431803980279465,0.93816036598775,"Impacted for ASCI","Moderate","Moderate","Severe","Stressed by low levels of chemistry or habitat degradation","Impacted and stressed",TRUE
"471","ME-SCR","Ventura",403,"Santa Clara","Agricultural","17573681","SC","possibly constrained",0.43833701,0.71961899,0.96848175,2010-06-21,0.74145995,2010,"0.641027473","0.572039705",1.4,1.4,0.02,0.02,1323,0.93,0.81,0.85,1.22,0.76,0.97,0.51,81,0.12,27.31,177,1,91.17,0,63,61,92,50,50,"Arid","NO","NO","NO","YES","",0.81,1.22,0.97,81,177,"Ventura","Santa Clara","Los Angeles",c(-119.1097, 34.30063),0.866790681710613,0.992584374171881,0.999012169538747,"Impacted for CSCI and ASCI","Moderate","Severe","Severe","Stressed by habitat degradation","Impacted and stressed",TRUE
"472","SMC16832","Los Angeles",405,"San Gabriel","Urban","22525157","SC","likely constrained",0.28437514,0.38744697,0.63452604,2010-06-18,0.39049894,2010,"0.909716081","0.79506089",1.63333333333333,1.25,1.05000001192093,NA,1022,0.16,0,0,0.03,0.17,0,0,0,0.14,48.4,0,0.2,94.29,100,37,25,63,33,25,"Arid","NO","NO","NO","YES","",0,0.03,0,0,0,"Los Angeles","San Gabriel","Los Angeles",c(-118.10855, 33.88444),0.993280897364365,0.999503114530055,0.999996661375529,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"473","403LNCASC","Ventura",403,"Santa Clara","Open","17568111","SC","possibly unconstrained",0.78594359,1.04015696,1.13936146,2010-06-15,1.07126078,2010,"1.0738786","0.977514301",0.0631,0.0631,0.0145,NA,499,0.99,0.78,0.82,0.63,0.63,1.77,0.93,2,0.85,6.53,74,0.66,89.77,0,81,72,92,81,75,"Arid","NO","NO","YES","YES","cram_score,cram_bioticstructure,cram_bufferandladscapecontext,cram_hydrology,cram_physicalstructure",0.78,0.63,1.77,2,74,"Ventura","Santa Clara","Los Angeles",c(-119.16139, 34.53892),0.227421701830284,0.543670385399017,0.64744964294713,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"474","SMC35697","Ventura",402,"Ventura","Urban","948070372","SC",NA,NA,NA,NA,2010-06-10,0.80361567,2010,"0.836365968","0.740066648",0.6,0.6,0.01,0.01,891,1,0.69,0.72,1.43,0.88,1.76,0.93,10,0.95,29.75,57,0.55,91.21,7,72,75,83,67,63,"Arid","NO","NO","NO","YES","",0.69,1.43,1.76,10,57,"Ventura","Ventura","Los Angeles",c(-119.30981, 34.35404),0.521930085516331,0.800825291999484,0.904780564378884,"Impacted for ASCI","Moderate","Moderate","Severe","Stressed by low levels of chemistry or habitat degradation","Impacted and stressed",TRUE
"475","403S00831","Ventura",403,"Santa Clara","Open","17574531","SC","possibly unconstrained",0.7688072,0.96942316,1.14334329,2010-06-10,0.50299523,2010,"0.766520095","0.839555453",0.429,0.429,0.02355,0.02355,1742,0.88,0.58,0.6,1.38,0.71,1.04,0.55,6,1,28.23,80,0.59,107.59,0,73,44,92,92,63,"Arid","NO","NO","NO","YES","",0.58,1.38,1.04,6,80,"Ventura","Santa Clara","Los Angeles",c(-118.8318, 34.43048),0.931286804693791,0.223533942299853,0.946646536128608,"Impacted for CSCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"476","SMC01567","Ventura",402,"Ventura","Open","17585756","SC","likely unconstrained",0.90582901,1.11925182,1.13241095,2010-06-09,0.62094717,2010,"1.0885159","1.044163987",0,0,0.0028,0.0028,824,0.87,0.67,0.7,1.26,0.72,1.69,0.89,9,0.83,12.23,32,0.42,88.14,0,67,44,100,75,50,"Arid","NO","NO","NO","YES","",0.67,1.26,1.69,9,32,"Ventura","Ventura","Los Angeles",c(-119.38373, 34.50959),0.211890525984231,0.760116748212644,0.810945736608675,"Impacted for CSCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"477","SMC11727","Ventura",402,"Ventura","Agricultural","17586488","SC","possibly unconstrained",0.70699471,0.89695099,1.18589155,2010-06-09,0.90018908,2010,"0.864458882","0.855235815",0.22,0.22,0.0095,0.0095,872,0.94,0.68,0.71,1.33,0.74,1.87,0.98,24,0.73,18.6,64,0.56,96.77,0,82,67,92,92,75,"Arid","NO","NO","NO","YES","",0.68,1.33,1.87,24,64,"Ventura","Ventura","Los Angeles",c(-119.29339, 34.47857),0.427491957799912,0.402117908902353,0.657707694559191,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"478","403S06904","Ventura",403,"Santa Clara","Agricultural","17574677","SC","possibly constrained",0.60816691,0.76402356,1.138579,2010-06-09,0.79160332,2010,"0.556262477","0.344028147",0.3405,0.3405,0.0373,0.0373,1495,0.89,0.37,0.37,1.41,0.82,1.57,0.83,61,0.55,41.48,108,0.74,108.68,0,62,53,79,67,50,"Arid","NO","NO","NO","YES","",0.37,1.41,1.57,61,108,"Ventura","Santa Clara","Los Angeles",c(-118.78769, 34.41964),0.908741612076236,0.910635656110503,0.99184475403878,"Impacted for ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"479","403S11084","Los Angeles",403,"Santa Clara","Agricultural","17574547","SC","likely constrained",0.27816308,0.49574805,0.6581217,2010-06-09,0.5782892,2010,"0.525497042","0.420219041",2.11,2.11,0.3215,0.356,1178,0.96,0.37,0.37,1.69,0.97,1.16,0.61,66,0.52,45.49,142,0.96,104.82,1,66,53,79,67,63,"Arid","NO","NO","NO","YES","",0.37,1.69,1.16,66,142,"Los Angeles","Santa Clara","Los Angeles",c(-118.56081, 34.42487),0.985690956181337,0.891298121361837,0.998444580055395,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"480","801S02573","San Bernardino",801,"Upper Santa Ana","Agricultural","22556328","SC","possibly constrained",0.34985517,0.58518597,0.85865633,2010-06-09,0.66836128,2010,"0.673260062","0.616922779",3.2,3.2,2,2,836,0.48,0,0,1.39,0.79,0.88,0.46,74,0.45,46.44,30,0.25,114.92,0,68,63,81,66,59,"Arid","NO","NO","YES","YES","cram_score,cram_bioticstructure,cram_bufferandladscapecontext,cram_hydrology,cram_physicalstructure",0,1.39,0.88,74,30,"San Bernardino","Upper Santa Ana","Santa Ana",c(-117.17765, 34.01345),0.995833578998776,0.967741486699358,0.999865597452716,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"481","802S09698","Riverside",802,"San Jacinto","Open","22536092","SC","possibly unconstrained",0.68082268,0.974679,1.12459047,2010-06-09,0.87427893,2010,"1.10585507","0.972500923",0.3,0.3,0.08,0.08,92,1.14,0.78,0.82,1.27,0.72,1.84,0.97,22,0.8,22.54,156,0.95,121.33,0,81,72,92,81,75,"Arid","NO","NO","YES","YES","cram_score,cram_bioticstructure,cram_bufferandladscapecontext,cram_hydrology,cram_physicalstructure",0.78,1.27,1.84,22,156,"Riverside","San Jacinto","Santa Ana",c(-116.70739, 33.7459),0.382828358870614,0.47997432384622,0.679054900018753,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"482","SMC01716","Los Angeles",412,"Los Angeles","Urban","22515806","SC","likely constrained",0.24859104,0.46573258,0.68290859,2010-06-08,0.43084842,2010,"0.735442634","0.726602261",1.79,1.79,0.41,NA,1270,0.2,0.47,0.48,0.37,0.09,0,0,0,0.14,47.96,5,0.09,118.23,100,51,45,62,51,43,"Arid","NO","NO","YES","YES","cram_score,cram_bioticstructure,cram_bufferandladscapecontext,cram_hydrology,cram_physicalstructure",0.47,0.37,0,0,5,"Los Angeles","Los Angeles","Los Angeles",c(-118.49727, 34.2073),0.990510662800497,0.997550701318586,0.99997675777891,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"483","403S03320","Ventura",403,"Santa Clara","Agricultural","17574773","SC","possibly constrained",0.52209203,0.73816196,1.07059364,2010-06-08,0.65892081,2010,"0.555293054","0.420833188",7.66,7.66,2.81,2.81,2245,0.51,0,0,1.15,0.49,0.36,0.19,100,0,22.43,139,0.83,125.09,0,53,56,67,50,38,"Arid","NO","NO","NO","YES","",0,1.15,0.36,100,139,"Ventura","Santa Clara","Los Angeles",c(-118.72346, 34.39996),0.999933026188507,0.995899187186822,0.999999725352936,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"484","403S15608","Ventura",403,"Santa Clara","Agricultural","17574697","SC","possibly unconstrained",0.54783952,0.82289143,0.98974886,2010-06-08,0.78464133,2010,"0.590773745","0.547172827",2.32,2.32,0.418,0.418,1385,0.84,0,0,1.58,0.92,1.24,0.65,35,0.96,47.92,70,0.66,84.58,0,62,50,79,67,50,"Arid","NO","NO","NO","YES","",0,1.58,1.24,35,70,"Ventura","Santa Clara","Los Angeles",c(-118.70052, 34.4019),0.993603755353532,0.76996121444635,0.998528615649422,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"485","909JPCH79","San Diego",909,"Southern San Diego","Open","20332702","SC","possibly unconstrained",0.76797773,1.03737775,1.20842066,2010-06-08,1.05807723,2010,"0.889378979","0.728315065",0.217,0.217,0.05,NA,2639,1.05,0.76,0.79,1.24,0.64,1.68,0.88,50,0.76,47.62,136,0.87,115.52,0,81,72,92,81,75,"Arid","NO","NO","YES","YES","cram_score,cram_bioticstructure,cram_bufferandladscapecontext,cram_hydrology,cram_physicalstructure",0.76,1.24,1.68,50,136,"San Diego","Southern San Diego","San Diego",c(-116.57176, 32.91849),0.994595730678485,0.537676583953444,0.997501479746041,"Impacted for ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"486","SMC01972","Los Angeles",412,"Los Angeles","Urban","22515806","SC","likely constrained",0.24859104,0.46573258,0.68290859,2010-06-07,0.43076926,2010,"0.778639784","0.725465435",0.24,0.24,0.08,NA,1301,0.11,0,0,0.45,0.14,0,0,0,0.13,47.26,9,0.11,119.25,100,51,45,62,51,43,"Arid","NO","NO","YES","YES","cram_score,cram_bioticstructure,cram_bufferandladscapecontext,cram_hydrology,cram_physicalstructure",0,0.45,0,0,9,"Los Angeles","Los Angeles","Los Angeles",c(-118.49564, 34.24018),0.917544773467274,0.997555508825149,0.99979843892642,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"487","403S01707","Ventura",403,"Santa Clara","Open","17568571","SC","possibly unconstrained",0.58544074,0.94445212,1.15324476,2010-06-07,0.71963879,2010,"0.952859312","0.78410846",0.214,0.214,0.0388,0.0388,1033,0.92,0.58,0.6,1.21,0.63,1.41,0.74,13,0.97,26.68,82,0.63,101.65,0,78,44,100,92,75,"Arid","NO","NO","NO","YES","",0.58,1.21,1.41,13,82,"Ventura","Santa Clara","Los Angeles",c(-119.34799, 34.59835),0.744894116483054,0.229458116210118,0.80343023194897,"Impacted for CSCI and ASCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
